record_id,screen_time_y1_arm_1_screen_time_1_complete,screen_time_y1_arm_1_screen_time_2_complete,screen_time_y1_arm_1_screen_time_3_complete,screen_time_y1_arm_1_screen_time_4_complete,screen_time_y1_arm_1_screen_time_5_complete,screen_time_y1_arm_1_screen_time_6_complete,screen_time_2_y1_arm_1_screen_time_1_2_complete,screen_time_2_y1_arm_1_screen_time_2_2_complete,screen_time_2_y1_arm_1_screen_time_3_2_complete
10,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
13,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,,,
47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
48,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
57,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
63,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
76,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
84,2.0,0.0,0.0,0.0,0.0,0.0,,,
96,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
115,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
116,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
117,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
127,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
132,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
133,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
145,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
153,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
155,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
169,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
172,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
180,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
184,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
206,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
214,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
227,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
230,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
242,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
243,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
248,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
252,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
260,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
264,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
274,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
276,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
285,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
286,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
287,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
291,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0
300,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
301,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
306,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
309,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
311,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
320,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
322,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
328,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
330,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
334,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
336,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
339,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
350,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
361,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
362,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
364,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
366,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
370,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
373,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
379,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
380,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
384,2.0,2.0,2.0,2.0,0.0,0.0,,,
385,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
386,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
391,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
393,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
395,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
398,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
405,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
406,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
407,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
415,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
416,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
419,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
420,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
426,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
430,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
432,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
436,2.0,2.0,2.0,0.0,0.0,0.0,,,
442,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
457,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
458,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
459,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
461,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
463,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
464,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
470,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
471,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
472,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
473,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
474,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
