record_id,month
10,2024-02
10,2024-04
10,2024-07
10,2024-08
38,2024-08
38,2024-09
184,2024-09
227,2024-11
230,2024-09
230,2024-10
230,2024-11
259,2025-03
259,2025-07
259,2025-08
274,2024-12
274,2025-01
285,2025-02
291,2024-04
301,2025-02
334,2024-12
364,2024-11
373,2025-01
380,2025-04
398,2024-04
398,2024-12
398,2025-01
398,2025-02
405,2024-06
406,2024-07
406,2024-08
406,2024-09
406,2025-04
406,2025-05
426,2024-04
426,2024-06
426,2024-12
426,2025-01
426,2025-02
432,2025-01
432,2025-02
432,2025-03
436,2024-04
436,2024-05
436,2024-06
458,2025-02
458,2025-03
497,2025-03
502,2024-05
502,2024-06
502,2024-07
502,2025-01
502,2025-02
502,2025-03
507,2025-06
508,2025-02
508,2025-03
509,2025-02
509,2025-03
510,2025-03
511,2025-02
511,2025-03
515,2025-01
515,2025-02
515,2025-03
536,2025-02
540,2025-03
541,2025-01
541,2025-02
547,2024-05
547,2024-07
547,2024-08
547,2025-03
547,2025-04
549,2024-06
549,2025-04
555,2025-02
555,2025-03
564,2025-02
564,2025-03
569,2025-01
569,2025-02
569,2025-03
578,2025-04
582,2025-02
582,2025-04
589,2024-04
589,2024-07
589,2024-08
589,2025-02
589,2025-03
589,2025-04
591,2024-04
591,2024-05
591,2024-06
591,2024-07
591,2024-08
591,2025-02
591,2025-03
591,2025-04
592,2025-02
601,2025-07
606,2024-05
606,2024-06
606,2025-03
612,2025-02
612,2025-03
612,2025-04
618,2024-08
618,2025-03
618,2025-04
619,2024-04
626,2024-05
626,2025-03
626,2025-04
626,2025-05
629,2025-03
629,2025-04
629,2025-05
712,2024-06
712,2024-07
712,2025-04
712,2025-05
713,2025-04
737,2025-04
759,2024-07
761,2024-12
761,2025-07
761,2025-08
781,2024-05
781,2024-06
781,2024-07
781,2024-08
781,2024-09
781,2024-10
782,2024-05
782,2024-06
782,2024-07
782,2024-08
782,2024-09
782,2024-10
787,2024-05
787,2024-06
787,2024-07
787,2024-08
787,2024-09
787,2024-10
804,2025-04
804,2025-06
804,2025-07
804,2025-11
804,2025-12
804,2026-01
805,2025-02
805,2025-04
805,2025-06
805,2025-07
805,2025-11
805,2025-12
805,2026-01
816,2025-05
816,2025-06
816,2025-07
819,2024-07
819,2024-08
819,2024-09
819,2025-05
819,2025-06
835,2025-07
843,2024-11
843,2024-12
843,2025-01
843,2025-02
843,2025-03
843,2025-07
843,2025-08
843,2025-09
851,2025-07
852,2025-04
852,2025-05
852,2025-06
853,2024-05
853,2024-07
863,2024-06
863,2024-07
863,2024-08
863,2024-09
863,2024-10
863,2024-11
863,2025-05
863,2025-06
863,2025-07
867,2025-07
869,2024-06
869,2024-07
869,2025-07
876,2025-07
876,2025-08
884,2025-07
887,2024-07
887,2024-08
887,2024-11
887,2025-07
888,2024-07
888,2024-08
888,2024-09
888,2025-07
891,2025-07
905,2025-07
915,2025-10
915,2025-11
915,2025-12
923,2025-07
923,2025-08
924,2024-06
924,2024-07
924,2024-08
924,2024-09
924,2024-10
924,2024-11
924,2025-05
924,2025-06
924,2025-07
935,2025-07
935,2025-08
940,2024-09
940,2025-07
940,2025-08
950,2024-12
950,2025-06
950,2025-07
950,2025-08
951,2025-07
951,2025-08
952,2025-06
952,2025-07
952,2025-08
963,2025-07
963,2025-08
968,2025-07
968,2025-08
975,2025-07
975,2025-08
977,2025-07
977,2025-08
981,2025-07
981,2025-08
983,2025-07
983,2025-08
997,2024-06
997,2024-07
1001,2023-06
1001,2023-07
1001,2023-08
1006,2025-07
1006,2025-08
1007,2023-06
1007,2023-07
1007,2023-08
1053,2025-04
1053,2025-05
1053,2025-06
1056,2024-09
1056,2024-11
1056,2024-12
1056,2025-06
1056,2025-07
1056,2025-08
1057,2024-07
1057,2024-09
1057,2024-10
1057,2024-11
1057,2025-06
1057,2025-07
1057,2025-08
1065,2024-10
1065,2024-11
1065,2025-07
1065,2025-08
1065,2025-09
1072,2025-04
1072,2025-05
1072,2025-06
1076,2024-10
1076,2025-07
1076,2025-08
1076,2025-09
1078,2025-07
1078,2025-08
1078,2025-09
1083,2025-07
1083,2025-08
1083,2025-09
1088,2025-09
1088,2025-10
1088,2025-11
1089,2024-11
1089,2025-01
1093,2025-07
1093,2025-08
1093,2025-09
1106,2025-06
1106,2025-07
1106,2025-08
1106,2025-09
1106,2025-10
1106,2025-11
1107,2024-10
1107,2025-07
1107,2025-08
1107,2025-09
1109,2024-11
1109,2025-07
1109,2025-08
1109,2025-09
1110,2024-09
1110,2025-07
1110,2025-08
1110,2025-09
1116,2024-08
1116,2024-09
1116,2024-10
1116,2024-11
1116,2024-12
1116,2025-01
1116,2025-07
1116,2025-08
1116,2025-09
1117,2024-08
1117,2024-09
1117,2024-11
1117,2024-12
1117,2025-01
1117,2025-07
1117,2025-08
1117,2025-09
1121,2025-07
1121,2025-08
1121,2025-09
1122,2024-10
1122,2024-11
1122,2024-12
1122,2025-01
1122,2025-02
1122,2025-08
1122,2025-09
1122,2025-10
1126,2025-07
1126,2025-08
1126,2025-09
1129,2025-07
1129,2025-08
1129,2025-09
1135,2025-07
1135,2025-08
1135,2025-09
1139,2025-09
1139,2025-10
1139,2025-11
1141,2025-08
1141,2025-09
1141,2025-10
1146,2025-07
1146,2025-08
1146,2025-09
1147,2025-07
1147,2025-08
1147,2025-09
1165,2025-07
1165,2025-08
1165,2025-09
1171,2024-11
1171,2025-08
1171,2025-09
1171,2025-10
1172,2025-08
1172,2025-09
1172,2025-10
1180,2025-08
1180,2025-09
1180,2025-10
1184,2024-08
1184,2024-10
1184,2024-11
1184,2024-12
1184,2025-01
1184,2025-07
1184,2025-08
1184,2025-09
1194,2024-10
1194,2024-11
1194,2025-07
1194,2025-08
1194,2025-09
1199,2025-08
1199,2025-09
1199,2025-10
1201,2024-09
1201,2024-11
1201,2024-12
1201,2025-01
1201,2025-08
1201,2025-09
1201,2025-10
1203,2024-10
1203,2025-08
1203,2025-09
1203,2025-10
1205,2024-10
1205,2024-11
1205,2024-12
1205,2025-01
1205,2025-02
1205,2025-08
1205,2025-09
1205,2025-10
1207,2025-11
1207,2025-12
1207,2026-01
1208,2025-11
1208,2025-12
1208,2026-01
1210,2024-11
1210,2025-07
1210,2025-08
1210,2025-09
1211,2025-07
1211,2025-08
1211,2025-09
1224,2024-11
1224,2024-12
1224,2025-08
1224,2025-09
1224,2025-10
1247,2024-12
1247,2025-09
1247,2025-10
1247,2025-11
1253,2025-02
1253,2025-10
1253,2025-11
1253,2025-12
1256,2024-09
1256,2024-10
1256,2024-11
1256,2024-12
1256,2025-01
1256,2025-02
1256,2025-06
1256,2025-07
1256,2025-08
1261,2025-08
1261,2025-09
1261,2025-10
1264,2025-02
1264,2025-10
1264,2025-11
1264,2025-12
1278,2025-02
1278,2025-08
1278,2025-09
1278,2025-10
1280,2025-08
1280,2025-09
1280,2025-10
1282,2025-09
1282,2025-10
1282,2025-11
1292,2025-08
1292,2025-09
1292,2025-10
1325,2024-11
1325,2024-12
1325,2025-01
1325,2025-02
1325,2025-08
1325,2025-09
1325,2025-10
1327,2024-10
1327,2024-11
1327,2025-02
1327,2025-08
1327,2025-09
1327,2025-10
1328,2025-03
1345,2024-10
1345,2024-11
1345,2024-12
1345,2025-01
1345,2025-02
1345,2025-08
1345,2025-09
1345,2025-10
1346,2024-09
1346,2024-10
1346,2024-11
1346,2024-12
1346,2025-01
1346,2025-02
1346,2025-08
1346,2025-09
1346,2025-10
1354,2024-09
1354,2024-10
1354,2024-11
1354,2024-12
1354,2025-01
1354,2025-02
1354,2025-09
1354,2025-10
1354,2025-11
1355,2024-11
1355,2025-08
1355,2025-09
1355,2025-10
1356,2024-11
1356,2025-03
1356,2025-09
1356,2025-10
